,,avg_score_origimg_to_origprompt,avg_score_advimg_to_advprompt,avg_prompt_diff_origimg,avg_prompt_diff_advimg,acc_rightpromptbetter_origimg,acc_rightpromptbetter_advimg,acc_origprompt_rightimgbetter,acc_advprompt_rightimgbetter,acc_betterthan_baseline_origimg,acc_betterthan_baseline_advimg
fa_maps-l,I,0.41794625876701613,0.3658147211446233,0.23328017043623436,0.13463525064793164,0.7955056179775281,0.6247191011235955,0.7595505617977528,0.7775280898876404,0.5213483146067416,0.5415730337078651
fa_maps-l,II,0.417943546872879,0.36757846498963936,0.23742466545232122,0.13476502975995724,0.8,0.6359550561797753,0.7595505617977528,0.7640449438202247,0.5348314606741573,0.5685393258426966
base-l,I,0.4083282591011166,0.34187683753582276,0.20624122854068436,0.08571907317738724,0.7662921348314606,0.5595505617977528,0.7415730337078652,0.7258426966292135,0.0,0.0
base-l,II,0.4057026186696348,0.342797176277898,0.2028779544229253,0.0837029786828874,0.7415730337078652,0.5797752808988764,0.7370786516853932,0.6921348314606741,0.0,0.0
fa-acc_maps-l,I,0.40815512563070555,0.35721263837015643,0.22732749743494363,0.1165459807100673,0.7730337078651686,0.6,0.7573033707865169,0.7730337078651686,0.4898876404494382,0.5213483146067416
fa-acc_maps-l,II,0.4096916589802236,0.3563380517482462,0.22797820252363749,0.12033991232673635,0.7662921348314606,0.6134831460674157,0.7168539325842697,0.7617977528089888,0.5415730337078651,0.550561797752809
