index,modelname,resolution,orig_graph_orig_img,orig_graph_adv_img,adv_graph_orig_img,adv_graph_adv_img
44,fa_maps-l,I,"[0.41374918818473816, 0.32844576239585876, 0.6191553473472595, 0.6636232137680054, 0.4611927568912506]","[0.5023965239524841, 0.6231905221939087, 0.4462586045265198, 0.43100953102111816, 0.6834677457809448]","[0.7132924795150757, 0.479343444108963, 0.1567014753818512, 0.33650752902030945, 0.2759507894515991]","[0.5015912055969238, 0.21890339255332947, 0.45086607336997986, 0.4749787449836731, 0.4686725437641144]"
76,fa_maps-l,I,"[0.8677949905395508, 0.8037699460983276, 0.872445285320282, 0.6602319478988647, 0.855144739151001]","[0.008639117702841759, 0.007622348144650459, 0.0054693687707185745, 0.008586585521697998, 0.4531055986881256]","[0.010256937704980373, 0.015685277059674263, 0.013067921623587608, 0.016070498153567314, 0.018173621967434883]","[0.8320515751838684, 0.7120518684387207, 0.12120862305164337, 0.7413620948791504, 0.4611968994140625]"
69,fa_maps-l,I,"[0.2936011552810669, 0.3172602653503418, 0.34323009848594666, 0.3175790309906006, 0.051872413605451584]","[0.485525906085968, 0.5813926458358765, 0.03216463699936867, 0.3706989288330078, 0.3119231164455414]","[0.01193476002663374, 0.03420053794980049, 0.05341321974992752, 0.10378436744213104, 0.4379844069480896]","[0.30815088748931885, 0.2601306438446045, 0.3524644672870636, 0.5531442165374756, 0.6485499143600464]"
54,fa_maps-l,I,"[0.42354846000671387, 0.6593097448348999, 0.48361140489578247, 0.3432406783103943, 0.4105275273323059]","[0.339167982339859, 0.19520850479602814, 0.16830290853977203, 0.17257742583751678, 0.09943144768476486]","[0.010819037444889545, 0.007826085202395916, 0.026073329150676727, 0.002822659909725189, 0.0030218283645808697]","[0.42371904850006104, 0.4473605453968048, 0.2937350869178772, 0.36557531356811523, 0.4141711890697479]"
74,fa_maps-l,I,"[0.0968821719288826, 0.14390064775943756, 0.015465822070837021, 0.0951351523399353, 0.1851668506860733]","[0.023491904139518738, 0.0314304418861866, 0.058245107531547546, 0.002764025004580617, 0.046090807765722275]","[0.4539490342140198, 0.4145665764808655, 0.0335552878677845, 0.47522470355033875, 0.4459998607635498]","[0.4663807451725006, 0.41996845602989197, 0.4814440906047821, 0.4687395691871643, 0.4386192262172699]"
31,fa_maps-l,I,"[0.09723109006881714, 0.03605344146490097, 0.11457499116659164, 0.16106389462947845, 0.10027928650379181]","[0.0426105372607708, 0.11969615519046783, 0.07845832407474518, 0.04490457475185394, 0.0878625139594078]","[0.021458489820361137, 0.004905236419290304, 0.030648307874798775, 0.04331742227077484, 0.04226616770029068]","[0.014347778633236885, 0.020902059972286224, 0.016705980524420738, 0.025678453966975212, 0.019404631108045578]"
59,fa_maps-l,I,"[0.2501961588859558, 0.17807160317897797, 0.051935628056526184, 0.1831282377243042, 0.145960733294487]","[0.08653227984905243, 0.05033485218882561, 0.07272598892450333, 0.06743311882019043, 0.028522800654172897]","[0.4777269661426544, 0.5101324915885925, 0.2632927894592285, 0.19888967275619507, 0.454917848110199]","[0.30907365679740906, 0.2118966281414032, 0.2757307291030884, 0.20976081490516663, 0.2688102722167969]"
27,fa_maps-l,I,"[0.37650054693222046, 0.4397277235984802, 0.4504619538784027, 0.4629163444042206, 0.42708078026771545]","[0.47752249240875244, 0.4634273052215576, 0.43923065066337585, 0.42672860622406006, 0.4576968252658844]","[0.4299639165401459, 0.4701138734817505, 0.44746336340904236, 0.46384197473526, 0.02789105847477913]","[0.4942694902420044, 0.4843885004520416, 0.49322813749313354, 0.46853598952293396, 0.4453679323196411]"
98,fa_maps-l,I,"[0.5101282596588135, 0.5102176666259766, 0.5312596559524536, 0.5526893734931946, 0.8273378610610962]","[0.010789682157337666, 0.3022806644439697, 0.02229335531592369, 0.005518821533769369, 0.03687513992190361]","[0.013558132573962212, 0.33194321393966675, 0.3606361746788025, 0.3757482171058655, 0.491974413394928]","[0.7471994161605835, 0.09528911113739014, 0.8700387477874756, 0.4799610376358032, 0.8571159243583679]"
53,fa_maps-l,I,"[0.2350461632013321, 0.41931667923927307, 0.3269931972026825, 0.3116260766983032, 0.06421191245317459]","[0.07806738466024399, 0.3257231116294861, 0.30678391456604004, 0.18799631297588348, 0.15067219734191895]","[0.05799856409430504, 0.01799633912742138, 0.0036905042361468077, 0.011989958584308624, 0.0024476712569594383]","[0.21281972527503967, 0.0016467432724311948, 0.004061024636030197, 0.420898973941803, 0.019809003919363022]"
80,fa_maps-l,I,"[0.04424665495753288, 0.294647753238678, 0.2935725152492523, 0.039937276393175125, 0.17591935396194458]","[0.12129652500152588, 0.0607353076338768, 0.05380886793136597, 0.0929071232676506, 0.07084344327449799]","[0.010891605168581009, 0.0109644066542387, 0.07532567530870438, 0.07923437654972076, 0.0784783884882927]","[0.4115869402885437, 0.3227827548980713, 0.3987637460231781, 0.21961800754070282, 0.27696117758750916]"
96,fa_maps-l,I,"[0.4720090627670288, 0.3957533538341522, 0.5878753662109375, 0.5832806825637817, 0.5087000727653503]","[0.008844709023833275, 0.005350233055651188, 0.009021267294883728, 0.008818068541586399, 0.004164197947829962]","[0.033121075481176376, 0.22303497791290283, 0.029760682955384254, 0.06246194243431091, 0.2134639471769333]","[0.5657989382743835, 0.9440708160400391, 0.9311678409576416, 0.9524458646774292, 0.8744606375694275]"
3,fa_maps-l,I,"[0.618424654006958, 0.5036764144897461, 0.5380212068557739, 0.5134072303771973, 0.25459617376327515]","[0.6558869481086731, 0.590927243232727, 0.22395238280296326, 0.6660789847373962, 0.45279011130332947]","[0.3806456923484802, 0.4083717167377472, 0.3216518461704254, 0.4003230333328247, 0.20147022604942322]","[0.7306833267211914, 0.5288258194923401, 0.30678969621658325, 0.7754346132278442, 0.40669336915016174]"
26,fa_maps-l,I,"[0.4060879945755005, 0.43456482887268066, 0.0739860087633133, 0.4709600806236267, 0.3722289204597473]","[0.21708720922470093, 0.21732258796691895, 0.4040866196155548, 0.40750205516815186, 0.41700688004493713]","[0.0023464420810341835, 0.0030542039312422276, 0.004700466990470886, 0.003447142895311117, 0.005169559270143509]","[0.030392397195100784, 0.00892663188278675, 0.00507182814180851, 0.02446911111474037, 0.010155659168958664]"
2,fa_maps-l,I,"[0.5606900453567505, 0.5712658166885376, 0.24675367772579193, 0.37563836574554443, 0.5865535140037537]","[0.6905860900878906, 0.4925398826599121, 0.22624021768569946, 0.43473634123802185, 0.6366147994995117]","[0.5631508827209473, 0.6053179502487183, 0.23409372568130493, 0.1555495262145996, 0.5264900326728821]","[0.6086997985839844, 0.6281441450119019, 0.28228574991226196, 0.3352327346801758, 0.7869439125061035]"
75,fa_maps-l,I,"[0.45524200797080994, 0.42379361391067505, 0.48302119970321655, 0.3803333044052124, 0.49823060631752014]","[0.46191272139549255, 0.11390502750873566, 0.05007421225309372, 0.2539009749889374, 0.12587349116802216]","[0.41640704870224, 0.13865183293819427, 0.2301444560289383, 0.1695278286933899, 0.14379456639289856]","[0.1668682098388672, 0.46776264905929565, 0.3787948489189148, 0.1065916046500206, 0.6020416021347046]"
1,fa_maps-l,I,"[0.47844186425209045, 0.48646318912506104, 0.5296045541763306, 0.4843549132347107, 0.48780614137649536]","[0.4458211362361908, 0.47616153955459595, 0.49966517090797424, 0.468525230884552, 0.47592973709106445]","[0.4212392270565033, 0.49310439825057983, 0.45677873492240906, 0.4422401785850525, 0.47358548641204834]","[0.44077199697494507, 0.4723115563392639, 0.42197751998901367, 0.4677387773990631, 0.42415785789489746]"
51,fa_maps-l,I,"[0.3202211856842041, 0.18190836906433105, 0.11289221048355103, 0.07344916462898254, 0.18194089829921722]","[0.38617774844169617, 0.40734976530075073, 0.27319493889808655, 0.24412809312343597, 0.33812305331230164]","[0.0013950602151453495, 0.0017125314334407449, 0.002618866041302681, 0.0025229393504559994, 0.0008559831767342985]","[0.012450904585421085, 0.0003217737248633057, 0.00021144081256352365, 0.00045100870192982256, 0.006049894727766514]"
78,fa_maps-l,I,"[0.02610672265291214, 0.2059450000524521, 0.1075245589017868, 0.33819201588630676, 0.2313167005777359]","[0.15101858973503113, 0.05436061695218086, 0.015430524945259094, 0.04394610598683357, 0.022516673430800438]","[0.745180606842041, 0.23624037206172943, 0.2322341799736023, 0.28628575801849365, 0.2562982738018036]","[0.542011022567749, 0.7348124384880066, 0.26984310150146484, 0.6738355159759521, 0.8253995776176453]"
81,fa_maps-l,I,"[0.5455175638198853, 0.427119642496109, 0.47770097851753235, 0.4967089593410492, 0.3226558566093445]","[0.5256049633026123, 0.11329668760299683, 0.36500510573387146, 0.46484270691871643, 0.3247676193714142]","[0.20673446357250214, 0.2893480062484741, 0.25183606147766113, 0.4027217924594879, 0.348552405834198]","[0.3481524884700775, 0.20375335216522217, 0.2804034352302551, 0.3687078356742859, 0.3200683295726776]"
11,fa_maps-l,I,"[0.4452260136604309, 0.3516562581062317, 0.5779077410697937, 0.46039071679115295, 0.5808007717132568]","[0.27613329887390137, 0.13456840813159943, 0.02289305441081524, 0.046126075088977814, 0.2891724705696106]","[0.07473456114530563, 0.009902697056531906, 0.038852982223033905, 0.04981734976172447, 0.024189092218875885]","[0.04394891485571861, 0.23094800114631653, 0.46387678384780884, 0.35682210326194763, 0.2412061095237732]"
60,fa_maps-l,I,"[0.2822730243206024, 0.3960312306880951, 0.4008406698703766, 0.40489354729652405, 0.41345348954200745]","[0.40633922815322876, 0.041773486882448196, 0.028373075649142265, 0.03768008574843407, 0.31301191449165344]","[0.35541051626205444, 0.04440244287252426, 0.03546698018908501, 0.2906564772129059, 0.07400935143232346]","[0.048120513558387756, 0.019864652305841446, 0.043981436640024185, 0.08585670590400696, 0.011433753184974194]"
66,fa_maps-l,I,"[0.381144255399704, 0.456749826669693, 0.46263355016708374, 0.3645322918891907, 0.4024840295314789]","[0.433977872133255, 0.49958938360214233, 0.36192432045936584, 0.15270811319351196, 0.4708014726638794]","[0.38471344113349915, 0.38012778759002686, 0.4741602838039398, 0.31711769104003906, 0.5179778337478638]","[0.3671480417251587, 0.4090999662876129, 0.327027291059494, 0.5452046394348145, 0.4675292670726776]"
70,fa_maps-l,I,"[0.5069674849510193, 0.49964219331741333, 0.6516900658607483, 0.5177205204963684, 0.4952191114425659]","[0.5091275572776794, 0.4819502830505371, 0.48011213541030884, 0.5576009154319763, 0.49022629857063293]","[0.3927161991596222, 0.400887668132782, 0.47920775413513184, 0.42571648955345154, 0.45999205112457275]","[0.4641444981098175, 0.4455556571483612, 0.3533459007740021, 0.6902446746826172, 0.4678725600242615]"
4,fa_maps-l,I,"[0.32474830746650696, 0.48112934827804565, 0.5561126470565796, 0.0370846688747406, 0.26748126745224]","[0.004454717505723238, 0.017653612419962883, 0.009449407458305359, 0.16610656678676605, 0.007920538075268269]","[0.15921756625175476, 0.11736704409122467, 0.009994298219680786, 0.48243406414985657, 0.0026370231062173843]","[0.5028564929962158, 0.4524691700935364, 0.49242645502090454, 0.042098358273506165, 0.4941920042037964]"
50,fa_maps-l,I,"[0.20840895175933838, 0.3838007152080536, 0.29570814967155457, 0.2778254747390747, 0.008021368645131588]","[0.1656191051006317, 0.3806840777397156, 0.09170351177453995, 0.08005910366773605, 0.3532877266407013]","[0.04738860949873924, 0.15414106845855713, 0.029505034908652306, 0.2102806270122528, 0.014688553288578987]","[0.09378658980131149, 0.1588972508907318, 0.017030809074640274, 0.04953935369849205, 0.30728623270988464]"
6,fa_maps-l,I,"[0.5844139456748962, 0.6356332302093506, 0.21550582349300385, 0.6750473976135254, 0.13872402906417847]","[0.03691641986370087, 0.01186361163854599, 0.06889720261096954, 0.07215812057256699, 0.01709587499499321]","[0.5409572124481201, 0.5117020606994629, 0.49966296553611755, 0.260296493768692, 0.7756290435791016]","[0.8279925584793091, 0.8374711275100708, 0.8118871450424194, 0.6993846297264099, 0.7596789002418518]"
15,fa_maps-l,I,"[0.6327645182609558, 0.7723352909088135, 0.6348037719726562, 0.6916893720626831, 0.632072925567627]","[0.2576809525489807, 0.24008329212665558, 0.4292081594467163, 0.7147560119628906, 0.4502009153366089]","[0.01665930263698101, 0.009658832103013992, 0.005218898877501488, 0.007855935022234917, 0.014645623974502087]","[0.06187604367733002, 0.036992307752370834, 0.06624675542116165, 0.020660581067204475, 0.37863317131996155]"
82,fa_maps-l,I,"[0.14081525802612305, 0.19332203269004822, 0.1592864692211151, 0.24221375584602356, 0.22030246257781982]","[0.0011769006960093975, 0.04049922153353691, 0.013651734218001366, 0.009388606995344162, 0.18630583584308624]","[0.24174530804157257, 0.18698635697364807, 0.30240291357040405, 0.19631502032279968, 0.22846171259880066]","[0.7332108020782471, 0.4614163041114807, 0.48920586705207825, 0.414492666721344, 0.4704781770706177]"
30,fa_maps-l,I,"[0.6839950084686279, 0.47342729568481445, 0.5537811517715454, 0.478002667427063, 0.6653434038162231]","[0.4814342260360718, 0.46616989374160767, 0.4178004562854767, 0.4686332941055298, 0.3380112946033478]","[0.29978621006011963, 0.015332384966313839, 0.3354189693927765, 0.4382249414920807, 0.3872489035129547]","[0.457275390625, 0.46720442175865173, 0.3087349534034729, 0.39563649892807007, 0.4372211694717407]"
46,fa_maps-l,I,"[0.4327419400215149, 0.5847389698028564, 0.7140012979507446, 0.6461440324783325, 0.3781364858150482]","[0.19406521320343018, 0.7237670421600342, 0.15872281789779663, 0.3364330530166626, 0.33223313093185425]","[0.27503445744514465, 0.12969450652599335, 0.042272090911865234, 0.23917856812477112, 0.1257820576429367]","[0.20321139693260193, 0.09296602010726929, 0.261046439409256, 0.06937562674283981, 0.23127667605876923]"
67,fa_maps-l,I,"[0.5164709687232971, 0.4982544183731079, 0.5649586319923401, 0.6711212396621704, 0.5065627098083496]","[0.4853128492832184, 0.4954069256782532, 0.4957682192325592, 0.5260583162307739, 0.4865129888057709]","[0.41796958446502686, 0.523256242275238, 0.5190548896789551, 0.5814859867095947, 0.5477504730224609]","[0.33650755882263184, 0.5607764720916748, 0.5263018012046814, 0.5298447608947754, 0.5765231251716614]"
43,fa_maps-l,I,"[0.7433128356933594, 0.8893871307373047, 0.8575540781021118, 0.9139993190765381, 0.8035826683044434]","[0.49638935923576355, 0.5712242126464844, 0.5159534215927124, 0.17085090279579163, 0.29977020621299744]","[0.004576683044433594, 0.017165793105959892, 0.011757034808397293, 0.04823514074087143, 0.032158784568309784]","[0.11746491491794586, 0.29861512780189514, 0.42032521963119507, 0.5400897264480591, 0.3241708278656006]"
18,fa_maps-l,I,"[0.46354493498802185, 0.4940442442893982, 0.4662913680076599, 0.4864426553249359, 0.4870052933692932]","[0.06724674254655838, 0.08857819437980652, 0.08287908136844635, 0.4652610123157501, 0.12758834660053253]","[0.0043595717288553715, 0.005451160948723555, 0.005944445729255676, 0.0023868826683610678, 0.006273952778428793]","[0.4646994471549988, 0.42835646867752075, 0.41876453161239624, 0.0052715023048222065, 0.3489552438259125]"
36,fa_maps-l,I,"[0.23794768750667572, 0.0684325248003006, 0.26654285192489624, 0.010721929371356964, 0.11593012511730194]","[0.02195163629949093, 0.04433209076523781, 0.06724696606397629, 0.030022816732525826, 0.19366545975208282]","[0.3059563934803009, 0.07967575639486313, 0.1366134136915207, 0.20318271219730377, 0.17937910556793213]","[0.010524747893214226, 0.10060963034629822, 0.1812003254890442, 0.3311440348625183, 0.3403853476047516]"
45,fa_maps-l,I,"[0.6072655916213989, 0.5024972558021545, 0.4744165539741516, 0.5581582188606262, 0.645485520362854]","[0.12914705276489258, 0.05054829642176628, 0.32478100061416626, 0.030370719730854034, 0.03346966207027435]","[0.05028116703033447, 0.030118366703391075, 0.05347154662013054, 0.012049196287989616, 0.0073086656630039215]","[0.5006421804428101, 0.6074843406677246, 0.5047678351402283, 0.5562909245491028, 0.6292935609817505]"
28,fa_maps-l,I,"[0.3404850661754608, 0.2945621609687805, 0.3577689230442047, 0.04064295068383217, 0.0659569799900055]","[0.22212880849838257, 0.2086571902036667, 0.05562392622232437, 0.3304274380207062, 0.13799546658992767]","[0.0684659332036972, 0.023250317201018333, 0.013079134747385979, 0.008244005963206291, 0.05127720907330513]","[0.33408254384994507, 0.27842772006988525, 0.014021755196154118, 0.15451331436634064, 0.37562572956085205]"
22,fa_maps-l,I,"[0.949425220489502, 0.967067539691925, 0.9440590739250183, 0.965548038482666, 0.970656156539917]","[0.5668795704841614, 0.9819457530975342, 0.9410843849182129, 0.8541389107704163, 0.5973273515701294]","[0.003499409416690469, 0.007262099999934435, 0.004269555676728487, 0.09653340280056, 0.006467356346547604]","[0.43266937136650085, 0.0036352728493511677, 0.04237616807222366, 0.18786874413490295, 0.01428875420242548]"
68,fa_maps-l,I,"[0.3238252103328705, 0.3068388104438782, 0.3758397102355957, 0.20515160262584686, 0.4369979798793793]","[0.2037515938282013, 0.025490090250968933, 0.2801671624183655, 0.02904462069272995, 0.08524138480424881]","[0.2968119978904724, 0.0023280209861695766, 0.02015038952231407, 0.010926088318228722, 0.004367094486951828]","[0.44931524991989136, 0.2673361897468567, 0.027707213535904884, 0.05898961052298546, 0.409713476896286]"
0,fa_maps-l,I,"[0.5660740733146667, 0.4809401333332062, 0.8116509914398193, 0.4820002019405365, 0.8981072902679443]","[0.4084130823612213, 0.46365657448768616, 0.4925154745578766, 0.4837130904197693, 0.2539137005805969]","[0.003776690922677517, 0.040815748274326324, 0.02654610201716423, 0.2792724668979645, 0.08011147379875183]","[0.4907224774360657, 0.49231183528900146, 0.4547271728515625, 0.4939267635345459, 0.4876451790332794]"
71,fa_maps-l,I,"[0.2066756933927536, 0.39357802271842957, 0.37155216932296753, 0.20854653418064117, 0.22560426592826843]","[0.12899085879325867, 0.38505005836486816, 0.17646802961826324, 0.3250269591808319, 0.36206454038619995]","[0.30204156041145325, 0.1985790878534317, 0.2378840446472168, 0.20134489238262177, 0.1586449295282364]","[0.42276325821876526, 0.4754483997821808, 0.47247716784477234, 0.4001573622226715, 0.48353439569473267]"
